Катар ;Эквадор ;3,39;3,09;2,29
Сенегал;Нидерланды;7,04;4,02;1,54
Катар ;Сенегал;5,95;3,71;1,59
Нидерланды;Эквадор;1,8;3,4;5,01
Нидерланды;Катар;1,13;7,46;20,91
Эквадор;Сенегал;2,82;3,12;2,72
Англия;Иран;1,31;5,04;11,09
США;Уэльс;2,28;2,98;3,38
Уэльс;Иран;2,17;3,03;4,04
Англия;США;1,54;4,22;6,03
Иран;США;4,49;3,49;1,82
Уэльс;Англия;7;4;1,53
Аргентина;Саудовская Аравия;1,1;8,49;20,99
Мексика;Польша;2,51;3,01;3,21
Польша;Саудовская Аравия;1,65;3,49;4,99
Аргентина;Мексика;1,56;3,83;6,04
Польша;Аргентина;5,23;3,99;1,59
Саудовская Аравия;Мексика;5,05;3,63;1,72
Дания;Тунис;1,6;3,73;5,72
Франция;Австралия;1,24;5,46;14,89
Тунис;Австралия;2,27;3,07;3,26
Франция;Дания;1,99;3,19;3,99
Тунис;Франция;9,52;4,51;1,36
Австралия;Дания;7,05;4,03;1,54
Германия;Япония;1,44;4,48;6,97
Испания;Коста-Рика;1,13;7,46;22,89
Япония;Коста-Рика;1,64;3,58;5,48
Испания;Германия;2,48;3,27;2,67
Япония;Испания;7,49;4,74;1,39
Коста-Рика;Германия;15,05;5,77;1,22
Марокко;Хорватия;3,77;3,27;2,11
Бельгия;Канада;1,48;4,29;6,44
Бельгия;Марокко;1,62;4,02;5,03
Хорватия;Канада;1,7;3,6;4,75
Хорватия;Бельгия;3,18;3,48;2,18
Канада;Марокко;3;3,4;2,3
Швейцария;Камерун;1,71;3,39;5,48
Бразилия;Сербия;1,49;4,19;6,48
Камерун;Сербия;4,53;3,52;1,76
Бразилия;Швейцария;1,43;4,19;7,48
Сербия;Швейцария;2,77;3,33;2,57
Камерун;Бразилия;16,93;5,47;1,21
Уругвай;Южная Корея;1,73;3,53;5,04
Португалия;Гана;1,39;4,73;8,47
Южная Корея;Гана;2,52;3,03;2,93
Португалия;Уругвай;2,08;3,18;3,47
Южная Корея;Португалия;6,45;4,16;1,48
Гана;Уругвай;4,74;3,59;1,74
